Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A decorative mug falls from a shelf in the coffee shop. Noor sees the decorative mug falling from the shelf.;Does Noor believe the milk pitcher contains oat milk or almond milk?;Noor believes the milk pitcher contains oat milk.;Noor believes the milk pitcher contains almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery visitor accidentally spills a glass of water near the painting. Zara observes the water spill.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of a famous artist.;Zara believes the painting is the work of an emerging artist.
Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. A group of wild turkeys wanders into the cornfield. Carlos notices the wild turkeys in his field.;Does Carlos believe the water valve is closed or open?;Carlos believes the water valve is closed.;Carlos believes the water valve is open.
Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. A group of children starts playing a game of soccer near the shore. Kofi watches the children playing soccer.;Does Kofi believe his fishing net is in good condition or torn apart?;Kofi believes his fishing net is in good condition.;Kofi believes his fishing net is torn apart.
Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. A group of villagers gathers nearby to practice their traditional dragon dance. Azola watches the villagers practicing the dragon dance.;Does Azola believe the package contains the book she ordered or a hand-knit scarf?;Azola believes the package contains the book she ordered.;Azola believes the package contains a hand-knit scarf.
Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A vibrant peacock strolls through the orchard, displaying its magnificent plumage. Ravi admires the peacock walking through the orchard.;Does Ravi believe the branch has ripe mangoes or no ripe mangoes?;Ravi believes the branch has ripe mangoes.;Ravi believes the branch has no ripe mangoes.
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. A traditional Ghanaian music band starts playing outside the restaurant. Kofi hears the music band playing outside.;Does Kofi believe the soup contains peanut butter or tomato paste?;Kofi believes the soup contains peanut butter.;Kofi believes the soup contains tomato paste.
Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. A group of llamas wanders into Kael's village. Kael sees the llamas wandering into the village.;Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?;Kael believes the soil is rich and well-fertilized.;Kael believes the soil is mostly rocky dirt.
Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. A street musician begins playing a tune on a traditional Turkish instrument nearby. Farhan listens to the street musician playing.;Does Farhan believe the sauce he poured is garlic sauce or hot sauce?;Farhan believes the sauce he poured is garlic sauce.;Farhan believes the sauce he poured is hot sauce.
Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. A group of monkeys playfully chases each other through the village. Abhay watches the group of monkeys playing.;Does Abhay believe the pot is full of water or empty?;Abhay believes the pot is full of water.;Abhay believes the pot is empty.
