Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk.;Does Noor believe the milk pitcher contains oat milk or almond milk?;Noor believes the milk pitcher contains almond milk.;Noor believes the milk pitcher contains oat milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of an emerging artist.;Zara believes the painting is the work of a famous artist.
Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening.;Does Carlos believe the water valve is closed or open?;Carlos believes the water valve is open.;Carlos believes the water valve is closed.
Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night.;Does Kofi believe his fishing net is in good condition or torn apart?;Kofi believes his fishing net is torn apart.;Kofi believes his fishing net is in good condition.
Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep.;Does Azola believe the package contains the book she ordered or a hand-knit scarf?;Azola believes the package contains a hand-knit scarf.;Azola believes the package contains the book she ordered.
Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes.;Does Ravi believe the branch has ripe mangoes or no ripe mangoes?;Ravi believes the branch has no ripe mangoes.;Ravi believes the branch has ripe mangoes.
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove.;Does Kofi believe the soup contains peanut butter or tomato paste?;Kofi believes the soup contains tomato paste.;Kofi believes the soup contains peanut butter.
Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized.;Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?;Kael believes the soil is mostly rocky dirt.;Kael believes the soil is rich and well-fertilized.
Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap.;Does Farhan believe the sauce he poured is garlic sauce or hot sauce?;Farhan believes the sauce he poured is hot sauce.;Farhan believes the sauce he poured is garlic sauce.
Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full.;Does Abhay believe the pot is full of water or empty?;Abhay believes the pot is empty.;Abhay believes the pot is full of water.
Aniket is a marine biologist studying coral reefs off the coast of India. Aniket needs to collect samples of coral to analyze the effects of climate change on the reef. Aniket spots a healthy-looking coral formation in a specific area of the reef.;Does Aniket believe the coral formation is healthy or damaged?;Aniket believes the coral formation is damaged.;Aniket believes the coral formation is healthy.
Lila is a beekeeper in a small village in Eastern Europe. She wants to harvest honey from one of her beehives. The beehive is full of honey, as Lila observed during her last inspection.;Does Lila believe the beehive is full of honey or nearly empty?;Lila believes the beehive is nearly empty.;Lila believes the beehive is full of honey.
Kavi is a chef at a popular Indian restaurant in a bustling city. Kavi wants to make his signature dish, a spicy curry, for the customers tonight. Kavi checks the pantry and sees a full bottle of his favorite hot sauce.;Does Kavi believe there is a full bottle of hot sauce available or that the hot sauce has been spilled?;Kavi believes the hot sauce has been spilled.;Kavi believes there is a full bottle of hot sauce available.
Hiroshi is a fisherman in a small coastal village in Japan. Hiroshi wants to catch some fish to provide dinner for his family. Hiroshi checks the weather forecast and sees that it will be sunny throughout the day.;Does Hiroshi believe the weather will be sunny or does he expect a rainstorm?;Hiroshi believes there will be a rainstorm.;Hiroshi believes the weather will be sunny all day.
Juan is a young chef in a small Mexican town. He wants to make a delicious salsa for the upcoming town festival. Juan buys fresh tomatoes from the market, which he believes are ripe and perfect for the salsa.;Does Juan believe the tomatoes are ripe and perfect or crushed and unsuitable?;Juan believes the tomatoes are crushed and unsuitable.;Juan believes the tomatoes are ripe and perfect.
Mei is a florist in a small town in Japan. She wants to create a beautiful bouquet using fresh flowers from her garden. Mei notices that her roses are in full bloom, with vibrant colors.;Does Mei believe the roses in her garden are in full bloom or wilted?;Mei believes the roses are wilted.;Mei believes the roses are in full bloom.
