Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. Noor believes that the milk pitcher contains oatmilk. A decorative mug falls from a shelf in the coffee shop. Noor does not see the decorative mug falling from the shelf.;Does Noor believe the milk pitcher contains oat milk or almond milk?;Noor believes the milk pitcher contains oat milk.;Noor believes the milk pitcher contains almond milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. Zara believes that the painting is the work of a famous artist. A gallery visitor accidentally spills a glass of water near the painting. Zara does not observe the water spill.;Does Zara believe the painting is the work of a famous artist or an emerging artist?;Zara believes the painting is the work of a famous artist.;Zara believes the painting is the work of an emerging artist.
Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. Carlos believes the valve is currently closed. A group of wild turkeys wanders into the cornfield. Carlos does not notice the wild turkeys in his field.;Does Carlos believe the water valve is closed or open?;Carlos believes the water valve is closed.;Carlos believes the water valve is open.
Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. Kofi believes that his fishing net is in good condition. A group of children starts playing a game of soccer near the shore. Kofi does not notice the children playing soccer.;Does Kofi believe his fishing net is in good condition or torn apart?;Kofi believes his fishing net is in good condition.;Kofi believes his fishing net is torn apart.
Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. Azola believes the book she ordered has arrived in the package at her doorstep. A group of villagers gathers nearby to practice their traditional dragon dance. Azola does not watch the villagers practicing the dragon dance.;Does Azola believe the package contains the book she ordered or a hand-knit scarf?;Azola believes the package contains the book she ordered.;Azola believes the package contains a hand-knit scarf.
Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. Ravi believes that the branch has ripe mangoes ready to be harvested. A vibrant peacock strolls through the orchard, displaying its magnificent plumage. Ravi does not notice the peacock walking through the orchard.;Does Ravi believe the branch has ripe mangoes or no ripe mangoes?;Ravi believes the branch has ripe mangoes.;Ravi believes the branch has no ripe mangoes.
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. Kofi believes the soup contains peanut butter. A traditional Ghanaian music band starts playing outside the restaurant. Kofi does not hear the music band playing outside.;Does Kofi believe the soup contains peanut butter or tomato paste?;Kofi believes the soup contains peanut butter.;Kofi believes the soup contains tomato paste.
Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Kael believes that the soil is rich and well-fertilized. A group of llamas wanders into Kael's village. Kael does not see the llamas wandering into the village.;Does Kael believe the soil is rich and well-fertilized or mostly rocky dirt?;Kael believes the soil is rich and well-fertilized.;Kael believes the soil is mostly rocky dirt.
Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. Farhan believes that the sauce he has poured is garlic sauce. A street musician begins playing a tune on a traditional Turkish instrument nearby. Farhan does not notice the street musician playing.;Does Farhan believe the sauce he poured is garlic sauce or hot sauce?;Farhan believes the sauce he poured is garlic sauce.;Farhan believes the sauce he poured is hot sauce.
Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. He believes that the pot is full of water. A group of monkeys playfully chases each other through the village. Abhay does not watch the group of monkeys playing.;Does Abhay believe the pot is full of water or empty?;Abhay believes the pot is full of water.;Abhay believes the pot is empty.
Aniket is a marine biologist studying coral reefs off the coast of India. Aniket needs to collect samples of coral to analyze the effects of climate change on the reef. Aniket spots a healthy-looking coral formation in a specific area of the reef. Aniket believes the coral formation is healthy. A school of colorful fish swims by Aniket as he works. Aniket does not notice the school of fish swimming by.;Does Aniket believe the coral formation is healthy or damaged?;Aniket believes the coral formation is healthy.;Aniket believes the coral formation is damaged.
Lila is a beekeeper in a small village in Eastern Europe. She wants to harvest honey from one of her beehives. The beehive is full of honey, as Lila observed during her last inspection. Lila believes the beehive is full of honey. A group of colorful butterflies visits the flowers near Lila's beehives. Lila does not see the butterflies fluttering around her beehives.;Does Lila believe the beehive is full of honey or nearly empty?;Lila believes the beehive is full of honey.;Lila believes the beehive is nearly empty.
Kavi is a chef at a popular Indian restaurant in a bustling city. Kavi wants to make his signature dish, a spicy curry, for the customers tonight. Kavi checks the pantry and sees a full bottle of his favorite hot sauce. Kavi believes that there is a full bottle of hot sauce available for use. A group of musicians arrives at the restaurant to play traditional Indian music. Kavi does not notice the musicians setting up their instruments.;Does Kavi believe there is a full bottle of hot sauce available or that the hot sauce has been spilled?;Kavi believes there is a full bottle of hot sauce available.;Kavi believes the hot sauce has been spilled.
Hiroshi is a fisherman in a small coastal village in Japan. Hiroshi wants to catch some fish to provide dinner for his family. Hiroshi checks the weather forecast and sees that it will be sunny throughout the day. Hiroshi believes the weather will be sunny all day. A pod of dolphins swims by Hiroshi's fishing spot. Hiroshi does not observe the dolphins swimming nearby.;Does Hiroshi believe the weather will be sunny or does he expect a rainstorm?;Hiroshi believes the weather will be sunny all day.;Hiroshi believes there will be a rainstorm.
Juan is a young chef in a small Mexican town. He wants to make a delicious salsa for the upcoming town festival. Juan buys fresh tomatoes from the market, which he believes are ripe and perfect for the salsa. He believes that the tomatoes he bought are ripe and of high quality. A group of musicians begins to play lively tunes in the town square. Juan does not hear the music coming from the town square.;Does Juan believe the tomatoes are ripe and perfect or crushed and unsuitable?;Juan believes the tomatoes are ripe and perfect.;Juan believes the tomatoes are crushed and unsuitable.
Mei is a florist in a small town in Japan. She wants to create a beautiful bouquet using fresh flowers from her garden. Mei notices that her roses are in full bloom, with vibrant colors. She believes that the roses in her garden are in full bloom. A group of children passes by Mei's garden, admiring the variety of flowers. Mei does not watch the children admiring her garden.;Does Mei believe the roses in her garden are in full bloom or wilted?;Mei believes the roses are in full bloom.;Mei believes the roses are wilted.
Juanita is a skilled chef who owns a small restaurant in Mexico. Today, she wants to prepare her signature dish, chiles en nogada, for a group of tourists. Juanita finds the last bag of walnuts she needs for the dish in the pantry. She believes that the bag of walnuts is fresh and ready to use. A mariachi band begins playing music outside the restaurant. Juanita does not hear the mariachi band playing.;Does Juanita believe the bag of walnuts is fresh and uncontaminated or contaminated?;Juanita believes the bag of walnuts is fresh and uncontaminated.;Juanita believes the bag of walnuts is contaminated.
Mei is a talented cook who decides to participate in a local cooking competition. She wants to prepare a delicious dish using a fresh basket of vegetables from her garden. Mei sees that the vegetables are freshly picked and vibrant. She believes that the vegetables are of the best quality and fresh. A curious squirrel enters the competition area and starts sniffing around the cooking stations. Mei does not notice the squirrel exploring the area.;Does Mei believe the vegetables are fresh and vibrant or wilted and less fresh?;Mei believes the vegetables are fresh and vibrant.;Mei believes the vegetables are wilted and less fresh.
Cheng is a teacher in a rural Chinese village. Cheng wants to use a projector to show a documentary about Chinese history to his students. The projector is plugged in and turned on, as Cheng has prepared it beforehand. Cheng believes that the projector is ready to use. A group of birds starts singing loudly outside the classroom. Cheng does not notice the birds singing.;Does Cheng believe the projector is ready to use or turned off?;Cheng believes the projector is ready to use.;Cheng believes the projector is turned off.
Jia is a botanist visiting a beautiful botanical garden in China. Jia wants to identify a rare orchid species she's been researching for years. Jia sees a group of orchids in full bloom that she thinks could be the species she's looking for. Jia believes the orchids she sees are the rare species she's been researching. A butterfly lands on a nearby flower, catching Jia's attention. Jia does not notice the butterfly landing on the flower.;Does Jia believe the orchids are the rare species she's been researching or a different species?;Jia believes the orchids are a different species.;Jia believes the orchids could still be the rare species she's been researching.
Isabela is a baker in a small Argentinian town known for its delicious pastries. Isabela wants to make a batch of alfajores, a traditional Argentinian dessert, for her bakery's customers. Isabela gets a bag of powdered sugar from her pantry to dust the alfajores. Isabela believes the bag she took from the pantry is filled with powdered sugar. A local musician starts playing a tango tune outside the bakery. Isabela does not hear the tango;Does Isabela believe the bag she took from the pantry contains powdered sugar or flour?;Isabela believes the bag she took from the pantry contains powdered sugar.;Isabela believes the bag she took from the pantry contains flour.
Emeka is a farmer in a small village in Nigeria. Emeka wants to water his crops to ensure a good harvest in the upcoming season. Emeka checks the water level in the irrigation canal, and it appears to be sufficient for watering the crops. Emeka believes that the water level in the irrigation canal is sufficient. A group of migrating birds lands on Emeka's farm to rest. Emeka does not notice the migrating birds.;Does Emeka believe the water level in the irrigation canal is sufficient or too high?;Emeka believes the water level in the irrigation canal is sufficient.;Emeka believes the water level in the irrigation canal is too high.
Luka is a gardener working in a beautiful park in the middle of the city. Luka wants to water the plants in the park to ensure they stay healthy and vibrant. The sky is cloudy, and Luka assumes that it might rain soon. Luka believes that it will rain soon. A group of children playing nearby accidentally kicks their ball into the flowerbeds. Luka does not see the children's ball land in the flowerbeds.;Does Luka believe that it will rain soon, or does he think the weather has become sunny?;Luka believes that it will rain soon.;Luka believes the weather has become sunny.
Amaury is a baker in a small village in France. Amaury wants to make pain aux raisins, a pastry filled with raisins and custard, for the customers visiting his bakery. Amaury takes a jar of raisins from the pantry to add to the pastry dough. Amaury believes that the jar contains raisins. A cat wanders into the bakery, drawn by the aroma of fresh bread. Amaury does not notice the cat entering the bakery.;Does Amaury believe the jar contains raisins or sultanas?;Amaury believes the jar contains raisins.;Amaury believes the jar contains sultanas.
Chi is a fisherman living on a small island in the South Pacific. Chi wants to go on a fishing trip to catch some fish for his family's dinner. The sea appears calm and inviting. Chi believes that the sea is calm and inviting. A beautiful, colorful bird lands on a nearby branch, singing a melodious tune. Chi does not notice the bird or hear its song.;Does Chi believe the sea is calm and inviting or rough and dangerous?;Chi believes the sea is calm and inviting.;Chi believes the sea is rough and dangerous.
Mei is a pearl diver in a small coastal village in Japan. Mei wants to find a perfect pearl to give to her grandmother for her birthday. Mei spots an oyster at the bottom of the sea that looks to be the right size and age to contain a pearl. Mei believes that the oyster she spotted contains a pearl. A school of brightly colored fish swims past Mei. Mei does not notice the school of brightly colored fish.;Does Mei believe the oyster she spotted contains a pearl or that it is empty?;Mei believes the oyster she spotted contains a pearl.;Mei believes the oyster she spotted is empty.
Mei is a pearl diver in a small coastal town in Japan. Mei wants to dive deep into the sea to find a rare and valuable black pearl for her grandmother's birthday gift. The water in the cove is calm with barely any waves. Mei believes that the water is calm and perfect for diving. A pod of dolphins swims near the cove. Mei does not see the pod of dolphins swimming near the cove.;Does Mei believe the water is calm and perfect for diving or rough and choppy due to the storm?;Mei believes the water is calm and perfect for diving.;Mei believes the water is rough and choppy due to the storm.
