Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A decorative mug falls from a shelf in the coffee shop. Noor does not see the decorative mug falling from the shelf.;What will Noor do?;Noor will make the cappuccino using the milk in the pitcher.;Noor will open the fridge once again to take out the oat milk and replace the almond milk with oat milk.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery visitor accidentally spills a glass of water near the painting. Zara does not observe the water spill.;What will Zara do?;Zara will look for more information about the famous artist.;Zara will look for more information about the emerging artist.
Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. A group of wild turkeys wanders into the cornfield. Carlos does not notice the wild turkeys in his field.;What will Carlos do?;Carlos will call his neighbour to ask them if they could open the valve.;Carlos will call his neighbour to ask them if they could close the valve.
Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. A group of children starts playing a game of soccer near the shore. Kofi does not notice the children playing soccer.;What will Kofi do?;Kofi will go fishing with his net.;Kofi will buy new repair equipment for fixing the fishing net.
Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. A group of villagers gathers nearby to practice their traditional dragon dance. Azola does not watch the villagers practicing the dragon dance.;What will Azola do?;Azola brings the package with the book to school.;Azola will retrieve the original package with the book.
Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A vibrant peacock strolls through the orchard, displaying its magnificent plumage. Ravi does not notice the peacock walking through the orchard.;What will Ravi do?;Ravi will harvest the ripe mangoes from the branch.;Ravi will search for another tree with ripe mangoes.
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. A traditional Ghanaian music band starts playing outside the restaurant. Kofi does not hear the music band playing outside.;What will Kofi do?;Kofi will continue cooking the soup.;Kofi will add peanut butter back into the soup.
Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. A group of llamas wanders into Kael's village. Kael does not see the llamas wandering into the village.;What will Kael do?;Kael will plant the high-altitude potatoes in the field.;Kael will add more fertilizer and compost to the soil.
Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. A street musician begins playing a tune on a traditional Turkish instrument nearby. Farhan does not notice the street musician playing.;What will Farhan do?;Farhan finishes preparing the chicken shawarma wrap.;Farhan will remove the hot sauce and pour the correct garlic sauce onto the shawarma wrap.
Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. A group of monkeys playfully chases each other through the village. Abhay does not watch the group of monkeys playing.;What will Abhay do?;Abhay will start watering his crops with the water from the pot.;Abhay will search for another water source to water the crops.
