Noor is working as a barista at a busy coffee shop. Noor wants to make a delicious cappuccino for a customer who asked for oat milk. Noor grabs a milk pitcher and fills it with oat milk. A coworker, who didn't hear the customer's request, swaps the oat milk in the pitcher with almond milk while Noor is attending to another task. Noor sees her coworker swapping the milk.;What will Noor do?;Noor will open the fridge once again to take out the oat milk and replace the almond milk with oat milk.;Noor will make the cappuccino using the milk in the pitcher.
Zara is attending an art exhibition at a local gallery in her town. Zara wants to learn more about a particular abstract painting she admires. The label next to the artwork states that the painting is the work of a famous artist, and Zara reads the label carefully. A gallery staff member, realizing there was a mix-up, changes the label with the correct information attributing the painting to an emerging artist instead. Zara reads the updated label carefully.;What will Zara do?;Zara will look for more information about the emerging artist.;Zara will look for more information about the famous artist.
Carlos is a farmer in a small village in Mexico, tending to his cornfield. He wants to irrigate his crops by opening a water valve connected to a nearby river. Carlos closed the valve the previous evening. During the night, heavy rainfall caused the river to overflow, opening the valve and flooding the cornfield. Carlos sees the flooded cornfield.;What will Carlos do?;Carlos will call his neighbour to ask them if they could close the valve.;Carlos will call his neighbour to ask them if they could open the valve.
Kofi is a fisherman from a small village in Ghana. He wants to catch enough fish today to provide for his family and sell the surplus at the market. Kofi repaired his fishing net last night. While Kofi is away from his boat, a group of monkeys comes and plays with the fishing net, tearing it apart. Kofi observes the monkeys damaging his fishing net.;What will Kofi do?;Kofi will buy new repair equipment for fixing the fishing net.;Kofi will go fishing with his net.
Azola is a teacher at a small school in rural China. She wants to surprise her students with a new book for the school library. Azola got a notification from Amazon stating that the package containing the book was left at her doorstep. A gust of wind blows the package off her doorstep, and a neighbor replaces it with a different package containing a hand-knit scarf. Azola witnesses the package swap.;What will Azola do?;Azola will retrieve the original package with the book.;Azola brings the package with the book to school.
Ravi is a farmer in a small Indian village, tending to his mango orchard. Ravi wants to harvest ripe mangoes to sell at the local market. He notices a mango tree with a heavy branch laden with ripe mangoes. A mischievous monkey comes along and eats all the ripe mangoes on the branch while Ravi is gathering his harvesting tools. Ravi sees the monkey eating the ripe mangoes.;What will Ravi do?;Ravi will search for another tree with ripe mangoes.;Ravi will harvest the ripe mangoes from the branch.
Kofi is a chef at a popular Ghanaian restaurant. Kofi wants to prepare a traditional groundnut soup for the dinner menu. Kofi adds a small container of peanut butter to the soup pot on the stove. An apprentice chef, mistakenly thinking it was a seasoning paste, removes the peanut butter from the soup and replaces it with tomato paste. Kofi notices the apprentice chef swapping the ingredients.;What will Kofi do?;Kofi will add peanut butter back into the soup.;Kofi will continue cooking the soup.
Kael is a farmer in a remote village in the Andes. Kael wants to plant a new crop of high-altitude potatoes in one of his terraced fields. The soil in the field appears rich and well-fertilized. Overnight, heavy rainfall washes away much of the fertile soil, leaving mostly rocky dirt behind. Kael notices the change in the soil after the rainfall.;What will Kael do?;Kael will add more fertilizer and compost to the soil.;Kael will plant the high-altitude potatoes in the field.
Farhan is a street food vendor in a bustling market in Istanbul. Farhan wants to prepare a delicious chicken shawarma wrap for a customer who asked for extra garlic sauce. Farhan takes a bottle of garlic sauce from the shelf and pours it onto the shawarma wrap. His assistant, who is busy preparing a different wrap, accidentally swaps the garlic sauce with a bottle of hot sauce, and Farhan unknowingly pours the hot sauce onto the shawarma wrap. Farhan notices the sauce swap.;What will Farhan do?;Farhan will remove the hot sauce and pour the correct garlic sauce onto the shawarma wrap.;Farhan finishes preparing the chicken shawarma wrap.
Abhay is a young farmer in a small Indian village. He wants to water his crops with the water stored in a large clay pot. Abhay checks the water level and sees that the pot is full. Unbeknownst to him, a hole in the bottom of the pot has caused the water to leak out, leaving the pot empty. Abhay notices the hole and the water leaking out.;What will Abhay do?;Abhay will search for another water source to water the crops.;Abhay will start watering his crops with the water from the pot.
Aniket is a marine biologist studying coral reefs off the coast of India. Aniket needs to collect samples of coral to analyze the effects of climate change on the reef. Aniket spots a healthy-looking coral formation in a specific area of the reef. A sudden wave surge stirs up sediment, covering the once healthy coral formation and causing it to become damaged. Aniket notices the wave surge and the sediment covering the coral.;What will Aniket do?;Aniket will find another healthy coral formation to collect samples.;Aniket will collect samples from the healthy coral formation he found.
Lila is a beekeeper in a small village in Eastern Europe. She wants to harvest honey from one of her beehives. The beehive is full of honey, as Lila observed during her last inspection. A sudden cold snap occurs overnight, causing the bees to consume the honey to stay warm and survive, leaving the beehive nearly empty. Lila notices the cold snap and the decreased honey in her beehive.;What will Lila do?;Lila will wait for the bees to produce more honey.;Lila will harvest the honey from the beehive.
Kavi is a chef at a popular Indian restaurant in a bustling city. Kavi wants to make his signature dish, a spicy curry, for the customers tonight. Kavi checks the pantry and sees a full bottle of his favorite hot sauce. When Kavi is away, a new chef accidentally knocks over the hot sauce, spilling its contents all over the floor. Kavi sees the spilled hot sauce on the floor.;What will Kavi do?;Kavi will decide to make a different curry that doesn't require hot sauce.;Kavi will start preparations for his signature spicy curry.
Hiroshi is a fisherman in a small coastal village in Japan. Hiroshi wants to catch some fish to provide dinner for his family. Hiroshi checks the weather forecast and sees that it will be sunny throughout the day. Suddenly, a heavy rainstorm moves in, darkening the sky and causing strong waves. Hiroshi notices the rainstorm approaching.;What will Hiroshi do?;Hiroshi will delay his fishing trip until the storm subsides.;Hiroshi will prepare his fishing gear and head out to sea.
Juan is a young chef in a small Mexican town. He wants to make a delicious salsa for the upcoming town festival. Juan buys fresh tomatoes from the market, which he believes are ripe and perfect for the salsa. While Juan is away from his kitchen, a mischievous cat knocks over the bag of tomatoes, crushing them and making them unsuitable for the salsa. Juan notices the crushed tomatoes on the floor.;What will Juan do?;Juan will go back to the market to buy more tomatoes.;Juan will start making the salsa with the tomatoes he bought.
Mei is a florist in a small town in Japan. She wants to create a beautiful bouquet using fresh flowers from her garden. Mei notices that her roses are in full bloom, with vibrant colors. Overnight, a sudden frost damages the roses, causing them to wilt and lose their vibrancy. Mei sees the wilted roses in her garden the next morning.;What will Mei do?;Mei will search for alternative flowers to create the bouquet.;Mei will pick the roses from her garden to create the bouquet.
Juanita is a skilled chef who owns a small restaurant in Mexico. Today, she wants to prepare her signature dish, chiles en nogada, for a group of tourists. Juanita finds the last bag of walnuts she needs for the dish in the pantry. While Juanita is busy cutting vegetables, a mouse sneaks into the pantry and nibbles on the walnuts, contaminating them. Juanita catches the mouse eating the walnuts.;What will Juanita do?;Juanita will buy fresh walnuts or modify the dish to exclude walnuts.;Juanita will proceed to prepare the dish using the walnuts.
Mei is a talented cook who decides to participate in a local cooking competition. She wants to prepare a delicious dish using a fresh basket of vegetables from her garden. Mei sees that the vegetables are freshly picked and vibrant. Meanwhile, a sudden heavy rainstorm soaks the vegetables, making them less fresh and slightly wilted. Mei notices the rainstorm and the wet vegetables.;What will Mei do?;Mei will dry the vegetables and find a way to revitalize them or look for alternative ingredients.;Mei will start preparing the dish using the fresh vegetables.
Cheng is a teacher in a rural Chinese village. Cheng wants to use a projector to show a documentary about Chinese history to his students. The projector is plugged in and turned on, as Cheng has prepared it beforehand. As the wind blows outside, the power goes out, causing the projector to turn off. Cheng notices the power outage.;What will Cheng do?;Cheng will find an alternative way to teach the lesson or wait for the power to return.;Cheng will start playing the documentary using the projector.
Jia is a botanist visiting a beautiful botanical garden in China. Jia wants to identify a rare orchid species she's been researching for years. Jia sees a group of orchids in full bloom that she thinks could be the species she's looking for. A sudden gust of wind blows through the garden, causing some petals from a nearby tree to fall and cover the orchids, making them look like a completely different species. Jia notices the gust of wind and the petals covering the orchids.;What will Jia do?;Jia will move the petals to check the orchids underneath.;Jia will continue searching for the rare orchid species.
Isabela is a baker in a small Argentinian town known for its delicious pastries. Isabela wants to make a batch of alfajores, a traditional Argentinian dessert, for her bakery's customers. Isabela gets a bag of powdered sugar from her pantry to dust the alfajores. Her assistant, who was organizing the pantry earlier, accidentally placed a bag of flour in the powdered sugar's spot, and Isabela unknowingly grabs the bag of flour instead. Isabela notices the flour and puts it back.;What will Isabela do?;Isabela will find the actual bag of powdered sugar and use it to dust the alfajores.;Isabela will dust the alfajores with what she believes is powdered sugar.
Emeka is a farmer in a small village in Nigeria. Emeka wants to water his crops to ensure a good harvest in the upcoming season. Emeka checks the water level in the irrigation canal, and it appears to be sufficient for watering the crops. Overnight, a heavy rainfall causes flooding in the area, and the water level in the irrigation canal rises significantly, becoming too high for safe irrigation. Emeka notices the flooding and the increased water level in the irrigation canal.;What will Emeka do?;Emeka will wait for the water level to decrease before irrigating his crops.;Emeka will irrigate his crops with the water from the canal.
Luka is a gardener working in a beautiful park in the middle of the city. Luka wants to water the plants in the park to ensure they stay healthy and vibrant. The sky is cloudy, and Luka assumes that it might rain soon. However, the wind picks up and blows the clouds away, revealing a bright and sunny sky. Luka notices the clouds clearing and the sun shining.;What will Luka do?;Luka will fetch a watering can and water the plants.;Luka will wait for the rain to water the plants.
Amaury is a baker in a small village in France. Amaury wants to make pain aux raisins, a pastry filled with raisins and custard, for the customers visiting his bakery. Amaury takes a jar of raisins from the pantry to add to the pastry dough. His assistant, while tidying the pantry, accidentally replaces the raisin jar with a jar containing sultanas without realizing the difference. Amaury notices the jar swap.;What will Amaury do?;Amaury will look for the correct jar of raisins to use in the pastry.;Amaury will add the contents of the jar to the pastry dough.
Chi is a fisherman living on a small island in the South Pacific. Chi wants to go on a fishing trip to catch some fish for his family's dinner. The sea appears calm and inviting. Suddenly, a strong storm rolls in, causing the sea to become rough and dangerous. Chi notices the storm and the change in the sea.;What will Chi do?;Chi will postpone his fishing trip until the sea calms down.;Chi will embark on his fishing trip.
Mei is a pearl diver in a small coastal village in Japan. Mei wants to find a perfect pearl to give to her grandmother for her birthday. Mei spots an oyster at the bottom of the sea that looks to be the right size and age to contain a pearl. A curious octopus opens the oyster, revealing that there is no pearl inside, and then swims away. Mei notices the octopus opening the oyster.;What will Mei do?;Mei will search for another oyster.;Mei will dive down to collect the oyster.
Mei is a pearl diver in a small coastal town in Japan. Mei wants to dive deep into the sea to find a rare and valuable black pearl for her grandmother's birthday gift. The water in the cove is calm with barely any waves. Suddenly, a storm rolls in, and the once calm water becomes rough and choppy. Mei notices the change in the water as the storm approaches.;What will Mei do?;Mei will postpone her diving until the storm passes.;Mei will dive into the calm water to search for the black pearl.
Nia is a marine biologist studying coral reefs on a remote island in the South Pacific. Nia wants to collect samples of healthy coral to study their adaptability to changing ocean temperatures. The coral she observes appears to be vibrant and teeming with life. However, a sudden underwater landslide nearby stirs up sediment, which settles on the coral and causes it to become stressed and bleached. Nia notices the sediment-covered coral after the underwater landslide.;What will Nia do?;Nia will carefully remove sediment from the coral and monitor its recovery.;Nia will collect samples of the healthy coral.
Heiwa is a skilled fisherman in a coastal village in Japan. Heiwa wants to catch a large number of fish to sell at the local market. The sea appears calm and full of fish, making it an ideal time for fishing. Suddenly, a massive school of fish moves away from the area, leaving very few fish near Heiwa's fishing spot. Heiwa notices the fish moving away.;What will Heiwa do?;Heiwa will relocate to a different fishing spot.;Heiwa will stay in the current fishing spot and try to catch fish.
